elementSize; collectionSize; Read/Writes; Insert/Deletes; OperationsArray; OperationsList
1;10;100;0;77790724;65389255
1;10;99;1;49080873;19417832
1;10;90;10;67076905;48261251
1;10;50;50;70630390;56756068
2;10;100;0;77168655;67053909
2;10;99;1;29210759;15426349
2;10;90;10;62048061;45433446
2;10;50;50;69030100;56663677
3;10;100;0;77920336;67757635
3;10;99;1;1921;1967
3;10;90;10;19851;19661
3;10;50;50;95701;89951
1;1000;100;0;78029093;68786601
1;1000;99;1;49144566;19692906
1;1000;90;10;68665061;50553991
1;1000;50;50;70781840;58166153
2;1000;100;0;77369614;68822737
2;1000;99;1;29177691;15653845
2;1000;90;10;62788350;48246609
2;1000;50;50;69913872;57657602
3;1000;100;0;77257798;52848191
3;1000;99;1;200;2015
3;1000;90;10;1201;19621
3;1000;50;50;1;95201
1;100000;100;0;78257934;68648340
1;100000;99;1;49087875;19590779
1;100000;90;10;68591416;50431761
1;100000;50;50;70528801;57435463
2;100000;100;0;76770293;65305371
2;100000;99;1;28923774;14864001
2;100000;90;10;62054181;44145141
2;100000;50;50;69438098;55172218
1;10000000;100;0;78430607;68771304
1;10000000;99;1;48526061;19533103
1;10000000;90;10;67374633;49842470
1;10000000;50;50;69566695;57200402
2;10000000;100;0;76118509;51569061
2;10000000;99;1;13495619;12424960
2;10000000;90;10;37615713;34666480
2;10000000;50;50;31870494;44430177
